time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1344,3,0,13,1,3,5
10,1362,3,0,17,1,3,5
15,1357,3,0,15,1,3,6
20,1362,3,0,14,1,3,5
25,1360,3,0,15,1,3,5
30,1362,3,0,12,1,3,5
35,1364,3,0,12,1,3,5
40,955,5,0,77,1,4,7
45,915,5,0,16,2,4,8
50,963,5,0,17,2,4,7
55,1285,3,0,11,1,3,5
60,1170,4,0,17,1,4,6
