time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,16324,0,0,2,0,0,0
10,19310,0,0,3,0,0,0
15,19478,0,0,2,0,0,0
20,19640,0,0,2,0,0,0
25,18491,0,0,2,0,0,0
30,20298,0,0,2,0,0,0
35,19280,0,0,2,0,0,0
40,18656,0,-1,3,0,0,0
45,18434,0,0,6,0,0,0
50,19338,0,0,2,0,0,0
55,19809,0,0,3,0,0,0
60,20018,0,0,2,0,0,0
