time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,17567,0,0,9,0,0,0
10,19197,0,0,3,0,0,0
15,19621,0,0,2,0,0,0
20,18279,0,0,2,0,0,0
25,19417,0,0,3,0,0,0
30,19602,0,0,3,0,0,0
35,16746,0,0,3,0,0,0
40,17366,0,0,2,0,0,0
45,19610,0,0,3,0,0,0
50,19448,0,0,2,0,0,0
55,18294,0,0,2,0,0,0
60,18907,0,0,3,0,0,0
