time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,1197,4,0,14,1,4,6
10,1207,4,0,13,1,4,6
15,1176,4,0,12,2,4,6
20,1202,4,0,13,1,4,6
25,1214,4,0,12,1,4,6
30,1218,4,0,13,2,4,6
35,1221,4,0,10,1,4,6
40,1214,4,0,12,1,4,6
45,1217,4,0,11,2,4,6
50,1183,4,0,13,1,4,6
55,1212,4,0,13,2,4,5
