time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
5,22874,0,0,2,0,0,0
10,22962,0,0,12,0,0,0
15,23736,0,0,2,0,0,0
20,23202,0,0,3,0,0,0
25,23803,0,0,8,0,0,0
30,23855,0,0,2,0,0,0
35,24065,0,0,7,0,0,0
40,23893,0,0,3,0,0,0
45,23383,0,0,2,0,0,0
50,24217,0,0,3,0,0,0
55,23894,0,-2,12,0,0,0
60,22529,0,0,6,0,0,0
